activity,group,duration,distance,steps,calories,record_id,summary_id
transport,transport,1397,7798,,,199,447
walking,walking,3198,3151,4552,157,200,448
transport,transport,2493,19313,,,200,449
walking,walking,1365,1384,2054,69,201,450
transport,transport,3406,22342,,,201,451
walking,walking,1024,1258,1456,63,202,452
transport,transport,2372,20087,,,202,453
walking,walking,2171,2144,3154,107,203,454
transport,transport,3345,24289,,,203,455
walking,walking,2479,2534,3530,127,204,456
cycling,cycling,2543,11988,,267,204,457
transport,transport,4052,27844,,,204,458
transport,transport,3933,25364,,,205,459
walking,walking,2631,2547,3687,127,205,460
walking,walking,3566,5459,6346,273,206,461
running,running,815,2324,2073,140,206,462
transport,transport,1469,13387,,,206,463
walking,walking,1078,1069,1437,53,207,464
transport,transport,3127,20648,,,207,465
cycling,cycling,225,236,,7,207,466
walking,walking,2379,2915,3804,146,208,467
transport,transport,2636,19282,,,208,468
walking,walking,5414,6604,8736,330,209,469
transport,transport,1407,9421,,,209,470
walking,walking,2063,6438,3079,322,210,471
transport,transport,4648,70398,,,210,472
walking,walking,3480,3112,4895,155,211,473
transport,transport,1224,4790,,,211,474
walking,walking,1527,1252,1973,63,212,475
transport,transport,976,4338,,,212,476
walking,walking,2858,5941,4125,297,213,477
transport,transport,13456,1308946,,,213,478
walking,walking,946,786,1186,39,214,479
cycling,cycling,2561,11702,,261,214,480
transport,transport,2052,9903,,,214,481
walking,walking,1551,1814,2428,91,215,482
cycling,cycling,2693,10722,,242,215,483
transport,transport,1275,10248,,,215,484
walking,walking,3239,3956,5339,198,216,485
transport,transport,855,5659,,,216,486
walking,walking,1263,1272,1869,64,217,487
cycling,cycling,2285,12351,,272,217,488
transport,transport,2244,14888,,,217,489
walking,walking,3875,3699,5330,185,218,490
transport,transport,5919,39717,,,218,491
walking,walking,3594,3401,4780,170,219,492
transport,transport,4545,27729,,,219,493
walking,walking,1841,1693,2334,85,220,494
transport,transport,2003,18658,,,220,495
walking,walking,4623,5556,7154,278,221,496
transport,transport,2996,27993,,,221,497
walking,walking,1592,1652,2227,83,222,498
cycling,cycling,3440,16844,,374,222,499
transport,transport,1916,10570,,,222,500
walking,walking,6494,7062,9405,353,223,501
transport,transport,13501,1263252,,,223,502
walking,walking,2647,2213,3295,111,224,503
transport,transport,2293,9282,,,224,504
walking,walking,2853,2741,3904,137,225,505
transport,transport,7523,87435,,,225,506
walking,walking,2978,5121,5836,256,226,507
running,running,541,1597,1397,96,226,508
cycling,cycling,1288,7040,,155,226,509
transport,transport,1704,9786,,,226,510
walking,walking,2819,3895,5008,195,227,511
transport,transport,4876,41268,,,227,512
walking,walking,1851,2674,2617,134,228,513
cycling,cycling,1877,10690,,235,228,514
transport,transport,1561,10878,,,228,515
walking,walking,1296,1331,1915,66,229,516
cycling,cycling,2043,10294,,228,229,517
transport,transport,2352,11898,,,229,518
walking,walking,3781,3966,5757,198,230,519
transport,transport,6001,53592,,,230,520
walking,walking,2076,2087,3257,106,231,521
cycling,cycling,4418,22293,,493,231,522
transport,transport,1062,5840,,,231,523
walking,walking,570,500,801,25,232,524
transport,transport,1271,8605,,,232,525
walking,walking,1946,1944,2713,97,233,526
transport,transport,5270,35663,,,233,527
walking,walking,1048,1080,1595,54,234,528
transport,transport,1092,7512,,,234,529
cycling,cycling,9459,58292,,1273,234,530
walking,walking,723,770,1215,38,235,531
cycling,cycling,2393,12278,,271,235,532
transport,transport,1185,8991,,,235,533
walking,walking,1375,1319,1889,66,236,534
cycling,cycling,2415,11335,,252,236,535
transport,transport,2088,11186,,,236,536
walking,walking,3300,3775,5183,189,237,537
transport,transport,3503,27099,,,237,538
walking,walking,1856,2273,3015,114,238,539
cycling,cycling,2218,12147,,267,238,540
transport,transport,4689,22191,,,238,541
walking,walking,1828,1912,2646,96,239,542
transport,transport,1023,9848,,,239,543
cycling,cycling,2440,11691,,260,239,544
walking,walking,2596,2271,3498,113,240,545
transport,transport,5091,34709,,,240,546
walking,walking,2210,1775,2588,89,241,547
transport,transport,2811,21707,,,241,548
walking,walking,2389,2459,3496,123,242,549
cycling,cycling,2188,12141,,267,242,550
transport,transport,2057,12993,,,242,551
walking,walking,2943,3332,4581,166,243,552
transport,transport,2682,15705,,,243,553
cycling,cycling,1807,9687,,213,243,554
walking,walking,3137,3959,5048,198,244,555
transport,transport,2440,23340,,,244,556
transport,transport,4464,28879,,,245,557
walking,walking,2295,2719,3659,136,245,558
cycling,cycling,304,2421,,52,245,559
walking,walking,2334,2852,3676,142,246,560
transport,transport,2564,20005,,,246,561
walking,walking,2404,3189,3973,159,247,562
running,running,1532,3891,3710,237,247,563
transport,transport,1235,7301,,,247,564
walking,walking,2871,2367,3444,118,248,565
transport,transport,3491,32243,,,248,566
walking,walking,1146,1016,1484,51,249,567
transport,transport,1151,10623,,,249,568
cycling,cycling,2482,12610,,279,249,569
walking,walking,1043,1372,1649,69,250,570
transport,transport,2084,10449,,,251,571
cycling,cycling,2054,11415,,251,251,572
walking,walking,1509,1701,2314,85,251,573
walking,walking,1194,1225,1840,61,252,574
transport,transport,1132,10188,,,252,575
cycling,cycling,2474,12904,,285,252,576
walking,walking,1597,1714,2106,86,253,577
cycling,cycling,2509,13073,,289,253,578
transport,transport,1761,10783,,,253,579
walking,walking,1682,1490,2229,74,254,580
transport,transport,3270,26692,,,254,581
walking,walking,2393,2659,3454,133,255,582
transport,transport,2732,19811,,,255,583
walking,walking,1088,1014,1538,51,256,584
transport,transport,2356,12737,,,256,585
cycling,cycling,2243,12066,,266,256,586
walking,walking,2152,1961,2608,98,257,587
transport,transport,893,5603,,,257,588
cycling,cycling,2174,5396,,129,257,589
walking,walking,2091,2616,3372,131,258,590
transport,transport,23249,508449,,,258,591
walking,walking,1462,1291,2115,64,259,592
cycling,cycling,3497,18602,,410,259,593
transport,transport,6432,43129,,,259,594
walking,walking,2446,3279,4267,164,260,595
transport,transport,3145,21697,,,260,596
cycling,cycling,757,2695,,62,260,597
walking,walking,3322,4017,5168,201,261,598
transport,transport,2387,21385,,,261,599
walking,walking,3846,4179,5867,209,262,600
transport,transport,18966,1963222,,,262,601
walking,walking,1936,2191,3124,109,263,602
transport,transport,1458,6686,,,263,603
walking,walking,3456,4263,5251,213,264,604
transport,transport,16305,1911376,,,264,605
walking,walking,1926,2142,2772,107,265,606
transport,transport,2537,20646,,,265,607
walking,walking,1960,2132,2902,107,266,608
transport,transport,3241,26380,,,266,609
walking,walking,2513,3061,3918,153,267,610
transport,transport,3298,22440,,,267,611
walking,walking,1798,1494,2307,75,268,612
transport,transport,2878,17224,,,268,613
transport,transport,2508,21211,,,269,614
walking,walking,1542,1340,1940,67,269,615
transport,transport,2661,35309,,,270,616
walking,walking,2666,3181,3732,159,270,617
